time,ax,ay,az,wx,wy,wz
2026-03-11T13:55:58.272Z,0.0181,0.0171,-0.1393,-0.0026,-0.0058,0.0037
2026-03-11T13:55:58.281Z,0.0184,0.0174,-0.1183,-0.0013,-0.0034,0.0029
2026-03-11T13:55:58.290Z,0.0232,0.0143,-0.1456,-0.0038,-0.0035,0.0042
2026-03-11T13:55:58.302Z,0.0299,0.0117,-0.1237,-0.0039,-0.0039,0.0029
2026-03-11T13:55:58.310Z,0.0164,0.0244,-0.1580,-0.0031,-0.0040,0.0031
2026-03-11T13:55:58.321Z,0.0192,0.0245,-0.1201,-0.0030,-0.0036,0.0037
2026-03-11T13:55:58.330Z,0.0230,0.0299,-0.1368,-0.0039,-0.0041,0.0029
2026-03-11T13:55:58.340Z,0.0162,0.0148,-0.1296,-0.0035,-0.0043,0.0033
2026-03-11T13:55:58.351Z,0.0176,0.0131,-0.1291,-0.0045,-0.0041,0.0028
2026-03-11T13:55:58.360Z,0.0110,0.0068,-0.1360,-0.0035,-0.0034,0.0036
2026-03-11T13:55:58.370Z,0.0184,0.0176,-0.1320,-0.0030,-0.0032,0.0038
2026-03-11T13:55:58.380Z,0.0116,0.0069,-0.1471,-0.0039,-0.0061,0.0029
2026-03-11T13:55:58.390Z,0.0162,0.0101,-0.1381,-0.0021,-0.0029,0.0028
2026-03-11T13:55:58.402Z,0.0249,0.0090,-0.1401,-0.0038,-0.0049,0.0040
2026-03-11T13:55:58.410Z,0.0136,0.0124,-0.1245,-0.0038,-0.0043,0.0015
2026-03-11T13:55:58.421Z,0.0185,0.0119,-0.1456,-0.0027,-0.0046,0.0050
2026-03-11T13:55:58.430Z,0.0168,0.0177,-0.1270,-0.0031,-0.0039,0.0046
2026-03-11T13:55:58.440Z,0.0058,0.0204,-0.1413,-0.0026,-0.0054,0.0012
2026-03-11T13:55:58.451Z,0.0159,0.0102,-0.1493,-0.0044,-0.0038,0.0048
2026-03-11T13:55:58.459Z,0.0098,0.0060,-0.1435,-0.0036,-0.0044,0.0030
2026-03-11T13:55:58.470Z,0.0240,0.0205,-0.1248,-0.0019,-0.0048,0.0042
2026-03-11T13:55:58.480Z,0.0126,0.0178,-0.1380,-0.0028,-0.0036,0.0032
2026-03-11T13:55:58.490Z,0.0125,0.0156,-0.1360,-0.0031,-0.0040,0.0050
2026-03-11T13:55:58.501Z,0.0163,0.0141,-0.1448,-0.0029,-0.0028,0.0058
2026-03-11T13:55:58.510Z,0.0208,0.0054,-0.1425,-0.0027,-0.0033,0.0049
2026-03-11T13:55:58.520Z,0.0155,0.0057,-0.1281,-0.0041,-0.0034,0.0046
2026-03-11T13:55:58.530Z,0.0189,0.0147,-0.1429,-0.0025,-0.0057,0.0029
2026-03-11T13:55:58.540Z,0.0160,0.0210,-0.1366,-0.0028,-0.0036,0.0034
2026-03-11T13:55:58.551Z,0.0146,0.0184,-0.1357,-0.0033,-0.0057,0.0021
